Team,League,GamesPlayed,AtBats,Runs,Hits,BattingAverage,OnBasePercentage,SlugPercent,WHIP,ERA,BAA,wintotal
Los Angeles Dodgers,NL,162,5445,830,1330,0.244,0.33,0.429,1.1,3.01,0.207,106
San Francisco Giants,NL,162,5462,804,1360,0.249,0.329,0.44,1.15,3.24,0.23,107
Milwaukee Brewers,NL,162,5362,738,1251,0.233,0.317,0.396,1.18,3.5,0.218,95
Tampa Bay Rays,AL,162,5507,857,1336,0.243,0.321,0.429,1.17,3.67,0.232,100
Chicago White Sox,AL,162,5357,796,1373,0.256,0.336,0.422,1.2,3.73,0.229,93
New York Yankees,AL,162,5331,711,1266,0.237,0.322,0.407,1.21,3.74,0.231,92
Houston Astros,AL,162,5593,863,1496,0.267,0.339,0.444,1.23,3.78,0.228,95
Atlanta Braves,NL,161,5363,790,1307,0.244,0.319,0.435,1.24,3.88,0.234,88
New York Mets,NL,162,5210,636,1243,0.239,0.315,0.391,1.23,3.9,0.236,77
Toronto Blue Jays,AL,162,5476,846,1455,0.266,0.33,0.466,1.23,3.91,0.236,91
Miami Marlins,NL,162,5348,623,1244,0.233,0.298,0.372,1.28,3.96,0.241,67
St. Louis Cardinals,NL,162,5351,706,1303,0.244,0.313,0.412,1.3,3.98,0.234,90
Oakland Athletics,AL,162,5395,743,1284,0.238,0.317,0.406,1.26,4.02,0.247,86
San Diego Padres,NL,162,5384,729,1305,0.242,0.321,0.401,1.25,4.1,0.237,79
Boston Red Sox,AL,162,5495,829,1434,0.261,0.328,0.449,1.38,4.26,0.258,92
Seattle Mariners,AL,162,5355,697,1209,0.226,0.303,0.385,1.28,4.3,0.247,90
Detroit Tigers,AL,162,5376,697,1299,0.242,0.308,0.399,1.37,4.32,0.252,77
Cleveland Guardians,AL,162,5332,717,1369,0.238,0.303,0.407,1.28,4.34,0.24,80
Philadelphia Phillies,NL,162,5366,734,1288,0.24,0.318,0.408,1.29,4.39,0.244,82
Cincinnati Reds,NL,162,5423,786,1352,0.249,0.328,0.431,1.36,4.4,0.244,83
Kansas City Royals,AL,162,5427,686,1349,0.249,0.306,0.396,1.39,4.64,0.254,74
Los Angeles Angels,AL,162,5437,723,1331,0.245,0.31,0.407,1.38,4.69,0.251,77
Texas Rangers,AL,162,5405,625,1254,0.232,0.294,0.375,1.34,4.79,0.256,60
Washington Nationals,NL,162,5385,724,1388,0.258,0.337,0.417,1.37,4.8,0.254,65
Colorado Rockies,NL,161,5374,739,1338,0.249,0.317,0.414,1.39,4.82,0.26,74
Minnesota Twins,AL,162,5431,729,1311,0.241,0.314,0.423,1.32,4.83,0.255,73
Chicago Cubs,NL,162,5306,705,1255,0.237,0.312,0.407,1.4,4.87,0.255,71
Pittsburgh Pirates,NL,162,5336,609,1261,0.236,0.309,0.364,1.44,5.08,0.26,61
Arizona Diamondbacks,NL,162,5489,679,1297,0.236,0.309,0.382,1.44,5.11,0.267,52
Baltimore Orioles,AL,162,5420,659,1296,0.239,0.304,0.402,1.48,5.84,0.273,52
